Age, Workclass,Education,Education Number,Marital Status,Occupation,Relationship,Race,Sex,Hours Per Week,Native Country,isGreater
34, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States, false
59, Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,40, United-States, true
69, Local-gov,10th,6, Married-civ-spouse, Exec-managerial, Husband, White, Male,20, United-States, false
29, Private, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,40, United-States, false
40, Private, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,40, United-States, false
21, Private, Some-college,10, Never-married, Other-service, Own-child, White, Male,15, United-States, false
40, Private, Assoc-acdm,12, Divorced, Prof-specialty, Not-in-family, White, Female,40, United-States, false
43, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, false
36, Private, HS-grad,9, Divorced, Handlers-cleaners, Not-in-family, White, Male,40, United-States, false
41, Private, HS-grad,9, Married-spouse-absent, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,40, Japan, true
72, ?, HS-grad,9, Widowed, ?, Not-in-family, White, Male,30, United-States, false
20, Private, Some-college,10, Never-married, Transport-moving, Own-child, White, Male,30, United-States, false
41, Local-gov, Bachelors,13, Widowed, Adm-clerical, Not-in-family, White, Female,40, United-States, false
34, Private, Some-college,10, Divorced, Exec-managerial, Not-in-family, White, Male,50, United-States, false
48, Private,11th,7, Divorced, Other-service, Unmarried, Black, Female,40, United-States, false
27, Private, HS-grad,9, Never-married, Exec-managerial, Own-child, White, Female,40, United-States, false
35, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,60, United-States, true
28, ?, HS-grad,9, Never-married, ?, Own-child, Black, Male,40, United-States, false
27, Private, HS-grad,9, Never-married, Craft-repair, Own-child, Black, Male,40, United-States, false
20, Private, Some-college,10, Never-married, Sales, Own-child, White, Male,40, United-States, false
18, Private, Some-college,10, Never-married, Sales, Own-child, White, Female,15, United-States, false
32, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,40, United-States, false
38, Private, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,60, United-States, true
23, State-gov, Some-college,10, Never-married, Other-service, Own-child, White, Male,40, United-States, false
28, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,45, United-States, true
40, State-gov, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,38, United-States, true
35, Private, HS-grad,9, Divorced, Machine-op-inspct, Unmarried, White, Female,40, United-States, false
74, Self-emp-inc, Some-college,10, Widowed, Exec-managerial, Unmarried, White, Male,40, United-States, false
28, Private, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,40, United-States, false
23, Private, Some-college,10, Never-married, Handlers-cleaners, Own-child, White, Male,30, United-States, false
20, Self-emp-not-inc, Some-college,10, Never-married, Farming-fishing, Own-child, White, Male,10, United-States, false
44, Private, HS-grad,9, Divorced, Machine-op-inspct, Unmarried, Black, Female,56, United-States, false
46, Local-gov, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,25, United-States, false
20, ?, Some-college,10, Never-married, ?, Own-child, White, Male,40, United-States, false
51, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,50, United-States, true
40, Private, Some-college,10, Separated, Adm-clerical, Not-in-family, White, Female,40, United-States, false
48, Private, Prof-school,15, Married-civ-spouse, Tech-support, Husband, White, Male,40, United-States, true
60, Self-emp-not-inc,9th,5, Married-civ-spouse, Farming-fishing, Husband, White, Male,84, United-States, false
48, Self-emp-inc, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States, true
46, Local-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White, Female,70, United-States, false
48, Self-emp-inc, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States, true
22, ?, HS-grad,9, Never-married, ?, Unmarried, Black, Female,35, United-States, false
24, Local-gov, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,40, United-States, false
45, State-gov, Some-college,10, Divorced, Prof-specialty, Unmarried, White, Female,40, United-States, false
18, Private,12th,8, Never-married, Sales, Own-child, White, Female,35, United-States, false
39, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States, false
65, Self-emp-inc, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,65, United-States, false
22, Private, Some-college,10, Divorced, Machine-op-inspct, Own-child, White, Female,40, United-States, false
20, Private, Some-college,10, Never-married, Other-service, Own-child, White, Female,20, United-States, false
28, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,40, United-States, false
46, Private, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,50, United-States, true
42, Local-gov, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,48, United-States, true
61, State-gov, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, ?, true
28, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Own-child, White, Male,50, United-States, true
18, Private, Some-college,10, Never-married, Sales, Own-child, White, Female,20, United-States, false
24, Federal-gov, Bachelors,13, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,40, United-States, false
45, Private, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,56, United-States, true
24, Private, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Male,40, United-States, false
44, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,50, United-States, true
20, Private, Some-college,10, Never-married, Other-service, Own-child, White, Male,30, United-States, false
35, Private, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,55, Poland, false
52, Self-emp-inc, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,60, United-States, false
25, Private, Assoc-acdm,12, Never-married, Farming-fishing, Not-in-family, White, Male,45, United-States, false
19, Private,5th-6th,3, Never-married, Farming-fishing, Not-in-family, White, Male,36, Mexico, false
35, ?, Bachelors,13, Married-civ-spouse, ?, Husband, White, Male,20, United-States, false
54, Private, Some-college,10, Divorced, Adm-clerical, Unmarried, White, Female,40, United-States, false
21, Private, Some-college,10, Never-married, Craft-repair, Own-child, White, Male,40, United-States, false
26, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,40, United-States, true
42, Private, Assoc-voc,11, Divorced, Adm-clerical, Unmarried, White, Female,40, United-States, false
19, Private, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,40, United-States, false
55, Private, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,50, United-States, true
44, State-gov, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,40, United-States, false
25, Private, Bachelors,13, Never-married, Exec-managerial, Own-child, White, Male,55, United-States, false
26, Private, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States, false
64, Federal-gov, Assoc-acdm,12, Separated, Prof-specialty, Not-in-family, White, Female,40, United-States, true
41, Private,11th,7, Divorced, Other-service, Unmarried, Other, Female,40, United-States, false
25, ?, Some-college,10, Never-married, ?, Own-child, Black, Male,40, ?, false
43, Private, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Male,40, United-States, false
45, Private, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,48, United-States, true
48, Federal-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,44, United-States, true
60, Private, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,40, United-States, false
45, Self-emp-not-inc, Some-college,10, Never-married, Farming-fishing, Not-in-family, White, Male,50, United-States, false
51, Private,10th,6, Married-civ-spouse, Sales, Husband, White, Male,40, United-States, true
37, Federal-gov, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,40, United-States, false
22, Private, Some-college,10, Never-married, Adm-clerical, Own-child, White, Male,30, United-States, false
44, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,65, United-States, true
27, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,50, United-States, false
47, Local-gov, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, false
32, Private, Masters,14, Married-civ-spouse, Exec-managerial, Husband, Black, Male,40, United-States, true
40, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,50, United-States, true
41, Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,40, United-States, false
32, ?,10th,6, Divorced, ?, Not-in-family, White, Female,40, United-States, false
26, Private, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,40, United-States, false
47, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,40, United-States, false
55, Self-emp-inc, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,45, United-States, false
38, Private, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,40, United-States, false
24, State-gov, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,15, United-States, false
64, Self-emp-not-inc, Doctorate,16, Married-civ-spouse, Exec-managerial, Husband, White, Male,25, United-States, true
56, Federal-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States, true
41, Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,49, United-States, true
33, Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,45, United-States, true
33, Private, Prof-school,15, Never-married, Prof-specialty, Own-child, White, Male,42, United-States, true
21, Private, Some-college,10, Married-civ-spouse, Other-service, Husband, White, Male,40, United-States, false
59, Local-gov, HS-grad,9, Widowed, Craft-repair, Not-in-family, Black, Male,40, United-States, false
58, Private, Assoc-voc,11, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, Germany, true
43, Local-gov, Masters,14, Divorced, Prof-specialty, Unmarried, White, Male,40, United-States, false
21, Private, HS-grad,9, Never-married, Craft-repair, Own-child, Black, Male,40, United-States, false
45, Private, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White, Male,40, United-States, false
53, Local-gov, HS-grad,9, Married-civ-spouse, Exec-managerial, Wife, White, Female,50, United-States, true
41, Private, Prof-school,15, Married-civ-spouse, Adm-clerical, Husband, White, Male,50, ?, true
27, Private,10th,6, Married-civ-spouse, Exec-managerial, Wife, White, Female,40, Mexico, false
53, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,50, ?, true
38, Private, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,35, United-States, true
31, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,70, United-States, true
41, Private, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,35, United-States, false
22, State-gov, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,40, United-States, false
43, Self-emp-not-inc, Masters,14, Married-civ-spouse, Sales, Husband, White, Male,60, United-States, false
41, State-gov, Some-college,10, Never-married, Prof-specialty, Not-in-family, White, Male,40, United-States, false
27, Private, Some-college,10, Married-civ-spouse, Handlers-cleaners, Wife, White, Female,35, United-States, false
41, Local-gov, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States, false
36, Private, Prof-school,15, Divorced, Prof-specialty, Not-in-family, White, Male,45, United-States, true
49, Private, Bachelors,13, Married-civ-spouse, Adm-clerical, Wife, White, Female,40, United-States, true
20, Private, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White, Male,45, United-States, false
58, Self-emp-not-inc, HS-grad,9, Married-spouse-absent, Other-service, Unmarried, White, Female,45, United-States, false
35, Self-emp-not-inc,12th,8, Never-married, Other-service, Not-in-family, Black, Female,40, Trinadad&Tobago, false
30, Local-gov, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,40, United-States, true
21, Private, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,40, United-States, false
29, Private, Assoc-acdm,12, Never-married, Machine-op-inspct, Unmarried, White, Male,45, United-States, false
40, Private, HS-grad,9, Widowed, Sales, Not-in-family, White, Female,40, United-States, false
54, State-gov, Bachelors,13, Never-married, Prof-specialty, Unmarried, Asian-Pac-Islander, Female,40, United-States, true
35, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,60, United-States, true
35, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,50, United-States, false
40, Private, Bachelors,13, Married-spouse-absent, Other-service, Not-in-family, White, Female,40, ?, false
59, Private, HS-grad,9, Separated, Sales, Unmarried, Black, Female,40, United-States, false
43, Self-emp-inc, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,50, United-States, false
39, Private,10th,6, Married-civ-spouse, Craft-repair, Husband, White, Male,60, United-States, true
51, Private,7th-8th,4, Separated, Machine-op-inspct, Not-in-family, Black, Female,30, United-States, false
71, Private, Some-college,10, Never-married, Other-service, Not-in-family, White, Female,60, United-States, false
33, Private,12th,8, Divorced, Machine-op-inspct, Unmarried, Black, Female,40, United-States, false
28, Private, HS-grad,9, Divorced, Other-service, Own-child, Black, Male,35, United-States, false
30, Private, HS-grad,9, Married-spouse-absent, Sales, Unmarried, White, Male,40, United-States, false
20, Private,5th-6th,3, Married-spouse-absent, Farming-fishing, Other-relative, White, Male,40, Mexico, false
51, Self-emp-inc, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,50, United-States, false
39, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,40, United-States, true
62, Private, Some-college,10, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,40, United-States, true
37, Private, HS-grad,9, Never-married, Exec-managerial, Own-child, White, Male,60, ?, false
28, Private,9th,5, Never-married, Machine-op-inspct, Not-in-family, White, Male,50, Dominican-Republic, false
23, Private, HS-grad,9, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,48, South, false
39, Private, Bachelors,13, Married-civ-spouse, Sales, Wife, White, Female,30, United-States, false
50, Self-emp-inc, Bachelors,13, Widowed, Sales, Unmarried, White, Male,65, United-States, true
31, Private,7th-8th,4, Never-married, Craft-repair, Unmarried, White, Male,40, United-States, false
45, Local-gov, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,50, United-States, true
23, ?, Bachelors,13, Never-married, ?, Own-child, Other, Male,40, United-States, false
47, Private,10th,6, Widowed, Machine-op-inspct, Not-in-family, White, Male,40, United-States, false
59, Private, HS-grad,9, Widowed, Prof-specialty, Not-in-family, White, Female,18, United-States, false
32, Private, Assoc-acdm,12, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,40, United-States, false
82, ?,7th-8th,4, Widowed, ?, Not-in-family, White, Male,5, United-States, false
49, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,55, United-States, true
74, Federal-gov, HS-grad,9, Widowed, Other-service, Not-in-family, White, Male,17, United-States, false
22, Private, Some-college,10, Never-married, Adm-clerical, Own-child, White, Male,35, United-States, false
32, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,55, Greece, false
34, Private, Bachelors,13, Married-civ-spouse, Farming-fishing, Husband, White, Male,50, United-States, true
59, Private, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White, Male,60, United-States, true
36, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,50, United-States, true
59, Private,11th,7, Divorced, Adm-clerical, Unmarried, White, Female,40, United-States, false
47, Self-emp-inc, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Male,70, United-States, true
53, Local-gov, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,45, United-States, false
25, Self-emp-not-inc, Some-college,10, Never-married, Craft-repair, Unmarried, White, Male,35, United-States, false
44, Private, Bachelors,13, Divorced, Adm-clerical, Not-in-family, Black, Male,65, United-States, false
57, Self-emp-not-inc, Prof-school,15, Married-civ-spouse, Sales, Wife, White, Female,35, United-States, true
42, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Farming-fishing, Husband, White, Male,80, United-States, true
58, Local-gov,10th,6, Married-civ-spouse, Transport-moving, Husband, White, Male,40, United-States, false
39, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,40, United-States, false
32, ?, HS-grad,9, Never-married, ?, Own-child, Black, Male,40, United-States, false
45, Private,7th-8th,4, Divorced, Machine-op-inspct, Not-in-family, White, Male,48, United-States, false
47, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, Black, Female,35, United-States, true
52, ?, Some-college,10, Married-civ-spouse, ?, Husband, White, Male,50, United-States, false
56, Self-emp-not-inc,1st-4th,2, Separated, Exec-managerial, Not-in-family, White, Male,25, ?, false
52, Private, HS-grad,9, Divorced, Machine-op-inspct, Not-in-family, White, Female,40, United-States, false
34, Private, HS-grad,9, Never-married, Other-service, Unmarried, Black, Female,35, United-States, false
36, Self-emp-not-inc,7th-8th,4, Married-civ-spouse, Craft-repair, Husband, White, Male,35, United-States, false
41, Private, HS-grad,9, Married-spouse-absent, Craft-repair, Not-in-family, White, Male,40, Poland, false
30, Private, Some-college,10, Never-married, Prof-specialty, Own-child, White, Male,40, Mexico, false
44, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, Other, Male,40, Puerto-Rico, false
17, ?, Some-college,10, Never-married, ?, Own-child, Asian-Pac-Islander, Female,40, Philippines, false
34, Private, Some-college,10, Never-married, Other-service, Unmarried, White, Female,40, United-States, false
41, Private, Some-college,10, Separated, Other-service, Not-in-family, Black, Male,40, United-States, false
29, Private, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White, Male,40, United-States, false
25, Private,9th,5, Never-married, Machine-op-inspct, Other-relative, White, Male,48, Mexico, false
42, Local-gov, Bachelors,13, Separated, Prof-specialty, Unmarried, White, Male,40, United-States, false
48, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,40, United-States, true
26, Private, Assoc-voc,11, Never-married, Sales, Not-in-family, White, Male,55, United-States, false
64, Self-emp-inc, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,40, ?, true
46, Self-emp-inc, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,45, United-States, false
38, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,50, United-States, true
49, State-gov,11th,7, Married-civ-spouse, Adm-clerical, Husband, White, Male,40, United-States, false
23, Private, Some-college,10, Never-married, Sales, Own-child, Black, Female,20, United-States, false
46, Local-gov, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,40, United-States, true
30, Private, HS-grad,9, Never-married, Handlers-cleaners, Unmarried, White, Male,55, United-States, false
49, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, true
47, ?, Assoc-voc,11, Divorced, ?, Not-in-family, White, Male,40, United-States, false
44, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,50, ?, true
31, Private, HS-grad,9, Divorced, Craft-repair, Own-child, White, Male,50, United-States, false
19, Private, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White, Male,50, United-States, false
45, Private, Assoc-acdm,12, Divorced, Prof-specialty, Unmarried, White, Female,38, United-States, false
34, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, Peru, true
26, Private, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,40, United-States, false
38, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,40, United-States, true
31, Private, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,43, United-States, false
36, Self-emp-inc, Assoc-acdm,12, Separated, Exec-managerial, Not-in-family, White, Male,50, United-States, false
31, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,60, United-States, true
30, Private, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,40, United-States, false
37, Private, HS-grad,9, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States, true
30, Private, Bachelors,13, Never-married, Prof-specialty, Not-in-family, Black, Male,50, United-States, true
21, ?, HS-grad,9, Married-civ-spouse, ?, Wife, Black, Female,30, United-States, false
73, Private,10th,6, Widowed, Other-service, Not-in-family, White, Female,10, United-States, false
38, Federal-gov, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States, true
30, Private,10th,6, Never-married, Craft-repair, Not-in-family, White, Male,50, United-States, false
33, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,50, United-States, true
52, Local-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States, true
58, Private, Some-college,10, Divorced, Adm-clerical, Unmarried, White, Female,46, United-States, false
34, Local-gov, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,50, United-States, false
35, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, false
59, Federal-gov, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, true
45, Private, Bachelors,13, Divorced, Exec-managerial, Unmarried, White, Female,40, United-States, false
27, Private, Some-college,10, Never-married, Transport-moving, Not-in-family, White, Male,48, United-States, false
31, Local-gov, Doctorate,16, Never-married, Prof-specialty, Not-in-family, White, Male,50, Mexico, true
45, Private, Some-college,10, Never-married, Farming-fishing, Other-relative, White, Male,50, United-States, false
40, Private, HS-grad,9, Separated, Other-service, Other-relative, White, Female,25, United-States, false
27, Private, Prof-school,15, Married-civ-spouse, Adm-clerical, Husband, White, Male,40, United-States, false
19, Private, HS-grad,9, Never-married, Other-service, Own-child, White, Male,20, United-States, false
29, Private,5th-6th,3, Never-married, Other-service, Not-in-family, White, Male,25, Mexico, false
34, Self-emp-inc, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,72, United-States, false
32, State-gov, Assoc-acdm,12, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, false
49, Private,11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,40, Cuba, false
33, Private,11th,7, Divorced, Exec-managerial, Unmarried, White, Female,40, United-States, true
74, ?,7th-8th,4, Married-civ-spouse, ?, Husband, White, Male,2, United-States, false
62, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,50, United-States, true
39, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States, false
43, Private, HS-grad,9, Divorced, Exec-managerial, Unmarried, White, Female,40, United-States, false
22, Private, Some-college,10, Never-married, Tech-support, Not-in-family, White, Female,60, United-States, false
24, Private, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,45, United-States, false
76, ?, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,40, Canada, true
25, Private, Some-college,10, Never-married, Other-service, Unmarried, Black, Female,40, United-States, false
19, Private, Some-college,10, Never-married, Sales, Not-in-family, White, Female,28, United-States, false
31, Private, Assoc-acdm,12, Divorced, Adm-clerical, Unmarried, White, Female,41, United-States, false
53, Private,11th,7, Divorced, Craft-repair, Other-relative, White, Female,40, United-States, false
61, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,3, United-States, false
47, Private, Bachelors,13, Married-civ-spouse, Other-service, Husband, White, Male,40, El-Salvador, false
37, Private, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,45, United-States, false
50, Self-emp-not-inc, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Male,30, United-States, false
27, Private, Some-college,10, Never-married, Sales, Not-in-family, White, Male,44, United-States, false
58, Private, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,40, United-States, false
43, Private, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,40, United-States, false
39, Private, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Husband, White, Male,40, United-States, false
36, Private, Some-college,10, Never-married, Sales, Not-in-family, White, Female,35, United-States, false
56, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,50, United-States, false
26, Private, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,55, United-States, false
23, Private, Bachelors,13, Never-married, Prof-specialty, Own-child, White, Female,38, United-States, false
47, Private,11th,7, Never-married, Transport-moving, Not-in-family, Black, Male,40, United-States, false
68, Private,12th,8, Widowed, Sales, Not-in-family, White, Female,30, United-States, false
47, Local-gov, Some-college,10, Never-married, Protective-serv, Not-in-family, Black, Male,40, United-States, false
45, Federal-gov, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,40, Guatemala, true
26, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,60, United-States, false
20, Private, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, Male,40, United-States, false
46, Private, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,40, United-States, false
37, Private, Assoc-acdm,12, Married-civ-spouse, Tech-support, Husband, White, Male,50, United-States, true
37, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,45, United-States, false
43, Private, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Male,42, United-States, false
59, Private, Masters,14, Widowed, Prof-specialty, Not-in-family, White, Female,40, United-States, false
39, Private, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,40, United-States, false
32, Private, Some-college,10, Divorced, Farming-fishing, Not-in-family, White, Female,54, United-States, false
63, Private, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,16, United-States, false
45, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,60, United-States, true
59, Private, Bachelors,13, Divorced, Adm-clerical, Unmarried, White, Female,40, United-States, false
36, ?,12th,8, Never-married, ?, Not-in-family, White, Male,35, United-States, false
26, Private, HS-grad,9, Never-married, Tech-support, Other-relative, White, Male,40, United-States, false
34, Private, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,40, United-States, false
41, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, true
26, Private, HS-grad,9, Never-married, Handlers-cleaners, Own-child, Black, Male,40, United-States, false
53, Private, HS-grad,9, Divorced, Machine-op-inspct, Not-in-family, White, Female,40, United-States, false
33, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,35, United-States, true
46, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,50, United-States, true
79, ?, HS-grad,9, Widowed, ?, Not-in-family, Black, Female,30, United-States, false
31, Private, HS-grad,9, Widowed, Craft-repair, Unmarried, White, Female,40, United-States, false
24, Private, HS-grad,9, Separated, Other-service, Not-in-family, White, Male,40, United-States, false
57, Local-gov, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,62, United-States, false
40, Private, HS-grad,9, Separated, Other-service, Unmarried, White, Female,47, United-States, false
41, Self-emp-inc, Assoc-voc,11, Married-civ-spouse, Sales, Husband, Other, Male,84, Mexico, false
20, Private, Some-college,10, Never-married, Adm-clerical, Own-child, White, Male,26, United-States, false
45, Private,11th,7, Never-married, Machine-op-inspct, Not-in-family, Black, Female,40, United-States, false
27, Private, Assoc-voc,11, Separated, Adm-clerical, Unmarried, White, Female,40, United-States, false
36, Private,5th-6th,3, Married-spouse-absent, Craft-repair, Other-relative, White, Male,40, Mexico, false
30, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40, Germany, false
36, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White, Female,40, United-States, true
25, Private, HS-grad,9, Married-spouse-absent, Farming-fishing, Not-in-family, Other, Male,40, Mexico, false
30, ?, Some-college,10, Never-married, ?, Not-in-family, White, Female,25, United-States, false
31, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,40, United-States, false
